,F,I,M,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,age
3821,0,0,1,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,11.5
2534,0,0,1,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,13.5
856,0,0,1,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,10.5
1225,0,1,0,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,6.5
1190,1,0,0,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,10.5
4050,0,0,1,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,10.5
3569,0,1,0,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,12.5
530,0,1,0,0.53,0.42,0.185,0.752,0.299,0.156,0.205,21.5
2860,1,0,0,0.72,0.55,0.18,1.52,0.637,0.325,0.435,11.5
49,1,0,0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,10.5
3095,0,0,1,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,10.5
2553,0,1,0,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,8.5
858,1,0,0,0.595,0.48,0.15,1.11,0.498,0.228,0.33,11.5
2984,1,0,0,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,11.5
1072,0,1,0,0.4,0.32,0.095,0.348,0.194,0.053,0.087,7.5
719,0,1,0,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,3.5
151,1,0,0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,10.5
2503,0,1,0,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,7.5
3172,1,0,0,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,12.5
1660,0,0,1,0.6,0.47,0.165,1.059,0.504,0.241,0.275,10.5
1656,1,0,0,0.6,0.475,0.15,1.13,0.575,0.196,0.305,10.5
2318,1,0,0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,13.5
2465,0,0,1,0.5,0.39,0.13,0.709,0.275,0.168,0.18,12.5
3914,0,1,0,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,20.5
2004,0,1,0,0.375,0.275,0.085,0.22,0.109,0.05,0.0605,8.5
2312,0,1,0,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,9.5
3456,1,0,0,0.61,0.48,0.16,1.234,0.598,0.238,0.315,13.5
3867,1,0,0,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,16.5
3408,0,1,0,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,8.5
3133,1,0,0,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,10.5
3831,1,0,0,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,11.5
4161,1,0,0,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,12.5
1941,1,0,0,0.625,0.47,0.145,0.984,0.475,0.2,0.265,12.5
4040,1,0,0,0.575,0.45,0.12,0.9585,0.447,0.169,0.275,13.5
2741,0,1,0,0.46,0.35,0.1,0.471,0.252,0.077,0.123,9.5
3167,0,0,1,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,16.5
3549,0,1,0,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,10.5
1385,0,1,0,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,12.5
2673,0,0,1,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,10.5
1399,1,0,0,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,12.5
1195,1,0,0,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,10.5
4005,1,0,0,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,10.5
2669,0,0,1,0.59,0.47,0.15,0.861,0.413,0.164,0.249,9.5
1798,0,0,1,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,12.5
1909,1,0,0,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,10.5
1475,1,0,0,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,9.5
2240,0,0,1,0.415,0.315,0.125,0.388,0.068,0.09,0.125,13.5
3876,0,0,1,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,17.5
2477,0,0,1,0.57,0.42,0.155,1.008,0.377,0.193,0.34,14.5
297,0,1,0,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,5.5
2211,0,0,1,0.565,0.47,0.195,1.142,0.387,0.258,0.35,18.5
1264,0,1,0,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,9.5
2216,0,1,0,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,8.5
958,0,1,0,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,9.5
1606,0,1,0,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,11.5
2813,0,1,0,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,5.5
908,0,1,0,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,8.5
2631,0,1,0,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,7.5
1609,0,1,0,0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,9.5
2567,1,0,0,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,7.5
1374,0,0,1,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,10.5
1286,0,1,0,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,10.5
1482,0,0,1,0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,9.5
349,0,0,1,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,15.5
1368,0,0,1,0.61,0.46,0.16,1.0,0.494,0.197,0.275,11.5
3958,1,0,0,0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,10.5
643,0,0,1,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,8.5
2416,0,0,1,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,19.5
3162,0,0,1,0.64,0.49,0.14,1.194,0.4445,0.238,0.375,16.5
2174,1,0,0,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,14.5
1681,1,0,0,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,12.5
669,1,0,0,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,14.5
3856,0,1,0,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,10.5
3592,0,0,1,0.655,0.525,0.16,1.46,0.686,0.311,0.405,12.5
3475,0,1,0,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,7.5
1671,0,0,1,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,10.5
290,0,0,1,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,18.5
1179,0,0,1,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,12.5
2649,0,0,1,0.505,0.4,0.135,0.723,0.377,0.149,0.178,8.5
4010,0,0,1,0.61,0.475,0.15,1.142,0.62,0.237,0.245,10.5
2351,0,0,1,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,20.5
2069,0,0,1,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,10.5
1587,0,1,0,0.515,0.395,0.125,0.6635,0.32,0.14,0.17,9.5
3352,1,0,0,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,16.5
2401,1,0,0,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,13.5
2527,0,0,1,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,11.5
1916,0,0,1,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,12.5
1357,0,0,1,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,12.5
1825,0,1,0,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,5.5
786,1,0,0,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,10.5
3818,0,0,1,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,10.5
140,1,0,0,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,11.5
788,1,0,0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,10.5
323,0,1,0,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,6.5
4154,0,1,0,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,7.5
2861,1,0,0,0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,13.5
714,0,0,1,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,10.5
3424,0,0,1,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,11.5
2338,0,0,1,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,18.5
2528,1,0,0,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,10.5
3922,0,1,0,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,11.5
3388,0,0,1,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,14.5
3320,1,0,0,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,17.5
3584,0,0,1,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,12.5
2098,0,0,1,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,9.5
618,0,0,1,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,10.5
406,0,0,1,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,9.5
2877,0,1,0,0.46,0.36,0.14,0.447,0.161,0.087,0.16,10.5
1004,1,0,0,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,10.5
426,1,0,0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,19.5
890,1,0,0,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,12.5
2575,0,0,1,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,8.5
497,1,0,0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,20.5
1837,0,1,0,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,7.5
3428,0,1,0,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,5.5
342,0,0,1,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,13.5
2742,0,1,0,0.46,0.345,0.105,0.415,0.187,0.087,0.11,9.5
3196,0,1,0,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,6.5
782,0,0,1,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,11.5
2313,0,0,1,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,17.5
1323,0,1,0,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,10.5
2464,1,0,0,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,12.5
2127,0,1,0,0.4,0.31,0.1,0.127,0.106,0.071,0.085,8.5
303,0,0,1,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,7.5
3476,0,1,0,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,8.5
3530,0,1,0,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,8.5
2618,1,0,0,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,14.5
664,0,1,0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,20.5
1177,1,0,0,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,11.5
1244,0,1,0,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,8.5
2594,1,0,0,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,10.5
1947,0,0,1,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,13.5
2457,0,1,0,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,6.5
3199,1,0,0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,10.5
3795,0,0,1,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,13.5
3377,0,1,0,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,6.5
3899,0,1,0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,5.5
84,0,0,1,0.58,0.45,0.14,1.013,0.38,0.216,0.36,15.5
3121,1,0,0,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,8.5
961,1,0,0,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,10.5
2009,0,1,0,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,9.5
2321,0,0,1,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,15.5
2707,0,0,1,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,10.5
304,1,0,0,0.47,0.36,0.13,0.472,0.182,0.114,0.15,11.5
3566,0,0,1,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,10.5
3849,0,0,1,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,7.5
916,0,1,0,0.385,0.265,0.08,0.251,0.124,0.037,0.07,7.5
2600,1,0,0,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,11.5
1624,0,0,1,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,10.5
2894,0,1,0,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,12.5
821,0,1,0,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,7.5
2307,1,0,0,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,17.5
4071,0,1,0,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,9.5
3434,0,1,0,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,7.5
3487,0,1,0,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,9.5
1000,1,0,0,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,12.5
18,0,0,1,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,8.5
1637,1,0,0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,9.5
1667,1,0,0,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,12.5
493,0,0,1,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,16.5
2867,0,1,0,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,7.5
2605,1,0,0,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,10.5
687,1,0,0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,17.5
2607,1,0,0,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,10.5
1608,0,1,0,0.545,0.4,0.13,0.686,0.3285,0.1455,0.18,10.5
3297,0,0,1,0.645,0.5,0.19,1.229,0.524,0.278,0.395,18.5
2462,0,0,1,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,9.5
1009,1,0,0,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,9.5
3621,1,0,0,0.655,0.455,0.17,1.275,0.583,0.303,0.333,9.5
3970,0,1,0,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,7.5
1677,0,0,1,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,10.5
1999,0,1,0,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,7.5
1310,0,1,0,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,9.5
1987,0,1,0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,5.5
4132,0,1,0,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,11.5
344,1,0,0,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,9.5
2866,0,1,0,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,6.5
986,1,0,0,0.57,0.455,0.15,1.107,0.54,0.255,0.27,9.5
2685,0,0,1,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,11.5
3307,1,0,0,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,10.5
3233,1,0,0,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,13.5
1142,0,0,1,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,10.5
1198,0,0,1,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,11.5
85,1,0,0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,13.5
1518,0,0,1,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,12.5
2907,0,0,1,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,11.5
1381,1,0,0,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,12.5
3228,0,1,0,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,10.5
1014,1,0,0,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,10.5
128,0,0,1,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,20.5
1364,0,0,1,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,13.5
2536,1,0,0,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,13.5
3412,0,1,0,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,9.5
891,0,0,1,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,18.5
2979,0,0,1,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,9.5
1359,0,0,1,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,11.5
307,0,0,1,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,14.5
3951,1,0,0,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,14.5
1317,0,1,0,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,11.5
4086,0,0,1,0.59,0.45,0.155,0.874,0.369,0.2135,0.24,9.5
3692,0,0,1,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,12.5
1208,0,0,1,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,11.5
3427,0,0,1,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,14.5
3100,0,0,1,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,11.5
2131,0,0,1,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,7.5
1239,0,1,0,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,8.5
275,0,0,1,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,23.5
489,1,0,0,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,15.5
3360,1,0,0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,20.5
1229,0,1,0,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,7.5
3521,0,1,0,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,4.5
2820,0,1,0,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,7.5
2215,1,0,0,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,11.5
3678,1,0,0,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,11.5
1058,0,1,0,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,5.5
281,0,1,0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,8.5
3318,0,0,1,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,5.5
1316,0,0,1,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,10.5
968,0,0,1,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,9.5
4027,0,1,0,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,7.5
3256,1,0,0,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,13.5
3064,0,0,1,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,10.5
619,0,0,1,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,8.5
2254,0,0,1,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,15.5
1742,1,0,0,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,12.5
3486,1,0,0,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,9.5
1847,0,1,0,0.47,0.375,0.12,0.487,0.196,0.099,0.135,9.5
1579,0,1,0,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,9.5
1655,1,0,0,0.6,0.46,0.155,0.9735,0.427,0.2045,0.3,9.5
2020,0,0,1,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,10.5
1956,0,0,1,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,12.5
1307,0,1,0,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,9.5
2003,0,1,0,0.375,0.28,0.08,0.226,0.105,0.047,0.065,7.5
575,1,0,0,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,12.5
1706,0,0,1,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,11.5
2614,0,0,1,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,10.5
3258,0,0,1,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,8.5
861,1,0,0,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,13.5
1801,0,0,1,0.605,0.475,0.15,1.15,0.575,0.232,0.297,11.5
1628,0,1,0,0.57,0.435,0.17,0.848,0.4,0.166,0.25,10.5
1993,0,1,0,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,7.5
269,1,0,0,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,14.5
629,0,0,1,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,11.5
300,1,0,0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,10.5
3820,0,0,1,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735,11.5
1447,0,0,1,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,9.5
1472,1,0,0,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,10.5
2046,0,1,0,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,8.5
3001,0,0,1,0.64,0.495,0.165,1.307,0.678,0.292,0.266,12.5
2629,0,1,0,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,7.5
2113,0,1,0,0.385,0.29,0.09,0.232,0.0855,0.0495,0.08,8.5
3130,0,0,1,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,12.5
4001,0,1,0,0.48,0.35,0.105,0.635,0.352,0.127,0.135,7.5
3694,0,0,1,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,11.5
2670,0,0,1,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,10.5
2008,0,1,0,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,8.5
503,1,0,0,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,14.5
3207,0,1,0,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,16.5
2924,0,0,1,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,10.5
380,0,0,1,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,16.5
2964,0,0,1,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,10.5
1525,0,0,1,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,12.5
2251,0,0,1,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,14.5
374,0,0,1,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,14.5
2274,0,0,1,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,16.5
3126,0,0,1,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,12.5
939,0,1,0,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,8.5
2684,1,0,0,0.625,0.49,0.155,1.115,0.484,0.277,0.3095,10.5
2920,0,0,1,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,11.5
2147,0,0,1,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,13.5
2665,1,0,0,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,9.5
2068,1,0,0,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,10.5
529,0,0,1,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,10.5
2606,0,0,1,0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,11.5
636,0,0,1,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,8.5
1269,0,1,0,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,9.5
185,0,0,1,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,14.5
2666,0,0,1,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,9.5
2213,0,0,1,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,18.5
2413,1,0,0,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,13.5
1797,0,1,0,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,9.5
1441,0,1,0,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,7.5
1535,0,1,0,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,7.5
1273,0,1,0,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,9.5
607,0,1,0,0.485,0.37,0.13,0.458,0.181,0.113,0.136,11.5
1712,1,0,0,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,10.5
955,0,0,1,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,9.5
3240,0,0,1,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,16.5
2963,1,0,0,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,13.5
3864,0,1,0,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,6.5
2071,1,0,0,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,10.5
3571,1,0,0,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,10.5
1977,1,0,0,0.7,0.575,0.205,1.773,0.605,0.447,0.538,14.5
158,1,0,0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,14.5
1748,1,0,0,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,12.5
2473,1,0,0,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,15.5
902,0,1,0,0.305,0.22,0.07,0.141,0.062,0.031,0.037,6.5
352,0,0,1,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,13.5
1230,0,1,0,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,8.5
3707,0,0,1,0.675,0.51,0.17,1.527,0.809,0.318,0.341,12.5
2140,1,0,0,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,11.5
444,1,0,0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,11.5
4129,0,1,0,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,11.5
754,0,0,1,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,21.5
1737,1,0,0,0.67,0.55,0.155,1.566,0.858,0.339,0.354,11.5
4159,1,0,0,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,10.5
311,0,0,1,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,15.5
548,1,0,0,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,13.5
2815,0,1,0,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,8.5
4124,0,1,0,0.5,0.385,0.12,0.516,0.197,0.1305,0.165,9.5
306,0,1,0,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,4.5
694,0,1,0,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,5.5
1927,0,0,1,0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,10.5
3543,0,1,0,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,9.5
749,0,0,1,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,16.5
2505,0,1,0,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,7.5
1266,0,1,0,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,10.5
2293,0,1,0,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,7.5
2468,1,0,0,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,9.5
2767,0,1,0,0.56,0.44,0.14,0.825,0.402,0.139,0.245,11.5
970,1,0,0,0.515,0.43,0.14,0.834,0.367,0.2,0.23,9.5
13,1,0,0,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,11.5
873,1,0,0,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,12.5
808,1,0,0,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,11.5
514,1,0,0,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,6.5
3402,0,0,1,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,14.5
409,0,0,1,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,9.5
2379,1,0,0,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735,11.5
3188,0,0,1,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,17.5
